# 1366 inputs. Regenerate with: go test -run TestCorpusGolden -corpus-update
# input	result	instant (UTC)	offset	format	ambiguous	kind
"00:54:44"	ok	2024-01-01T00:54:44.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"00:58:17"	ok	2024-01-01T00:58:17.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"01.01.1946"	ok	1946-01-01T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"01.08.1941"	ok	1941-08-01T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"01.12.1939"	ok	1939-12-01T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"01/01/1000"	ok	1000-01-01T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"01/09/1950"	ok	1950-01-09T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"01/Aug/1969:19:42:12 +0000"	ok	1969-08-01T19:42:12.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"01/Mar/1947:17:58:34 +0000"	ok	1947-03-01T17:58:34.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"01:00 AM"	ok	2024-01-01T01:00:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"01:00 Am"	ok	2024-01-01T01:00:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"01:50:17"	ok	2024-01-01T01:50:17.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"01:52 PM"	ok	2024-01-01T13:52:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"01:58"	ok	2024-01-01T01:58:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"02.12.1945"	ok	1945-12-02T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"02/21/2037"	ok	2037-02-21T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"02/Apr/2098:18:07:30 +0000"	ok	2098-04-02T18:07:30.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"02/Oct/1951:15:45:39 +0000"	ok	1951-10-02T15:45:39.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"020/1/0000"	nomatch
"02:10:00"	ok	2024-01-01T02:10:00.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"02:11"	ok	2024-01-01T02:11:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"02:20 PM"	ok	2024-01-01T14:20:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"02:27:43"	ok	2024-01-01T02:27:43.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"02:29:39"	ok	2024-01-01T02:29:39.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"02:37"	ok	2024-01-01T02:37:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"02:43:20"	ok	2024-01-01T02:43:20.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"02:54 AM"	ok	2024-01-01T02:54:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"03/12/2005"	ok	2005-03-12T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"03/15/2024"	ok	2024-03-15T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"03/16/2044"	ok	2044-03-16T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"03/18/2004"	ok	2004-03-18T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"03/30/1940"	ok	1940-03-30T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"03/Aug/1983:18:14:31 +0000"	ok	1983-08-03T18:14:31.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"03/Jun/2022:12:57:24 +0000"	ok	2022-06-03T12:57:24.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"03:04:57"	ok	2024-01-01T03:04:57.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"03:07:29"	ok	2024-01-01T03:07:29.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"03:08"	ok	2024-01-01T03:08:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"03:11 AM"	ok	2024-01-01T03:11:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"03:22:38"	ok	2024-01-01T03:22:38.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"03:25 PM"	ok	2024-01-01T15:25:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"03:28 PM"	ok	2024-01-01T15:28:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"03:41"	ok	2024-01-01T03:41:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"03:48 AM"	ok	2024-01-01T03:48:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"03:53 PM"	ok	2024-01-01T15:53:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"04.01.1944"	ok	1944-01-04T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"04.04.2011"	ok	2011-04-04T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"04/05/1936"	ok	1936-04-05T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"04/13/2115"	ok	2115-04-13T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"04/28/1931"	ok	1931-04-28T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"04/Jul/2071:10:18:52 +0000"	ok	2071-07-04T10:18:52.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"04:03 PM"	ok	2024-01-01T16:03:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"04:09"	ok	2024-01-01T04:09:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"04:47"	ok	2024-01-01T04:47:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"04:59:45"	ok	2024-01-01T04:59:45.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"05/11/1942"	ok	1942-05-11T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"05/18/2051"	ok	2051-05-18T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"05/22/1967"	ok	1967-05-22T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"05/Apr/1949:20:00:26 +0000"	ok	1949-04-05T20:00:26.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"05:10 AM"	ok	2024-01-01T05:10:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"05:17 PM"	ok	2024-01-01T17:17:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"05:20 PM"	ok	2024-01-01T17:20:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"05:24 AM"	ok	2024-01-01T05:24:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"05:30 AM"	ok	2024-01-01T05:30:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"05:33 AM"	ok	2024-01-01T05:33:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"05:40 PM"	ok	2024-01-01T17:40:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"05:51"	ok	2024-01-01T05:51:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"06/07/2025"	ok	2025-06-07T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"06/21/2026"	ok	2026-06-21T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"06/24/2091"	ok	2091-06-24T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"06/Aug/1987:11:23:54 +0000"	ok	1987-08-06T11:23:54.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"06/Nov/1957:05:49:02 +0000"	ok	1957-11-06T05:49:02.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"06/Sep/2020:17:45:25 +0000"	ok	2020-09-06T17:45:25.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"06:02 AM"	ok	2024-01-01T06:02:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"06:06 AM"	ok	2024-01-01T06:06:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"06:06 PM"	ok	2024-01-01T18:06:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"06:07 AM"	ok	2024-01-01T06:07:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"06:14"	ok	2024-01-01T06:14:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"06:16:36"	ok	2024-01-01T06:16:36.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"06:19"	ok	2024-01-01T06:19:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"06:19 AM"	ok	2024-01-01T06:19:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"06:56 AM"	ok	2024-01-01T06:56:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"07.03.2012"	ok	2012-03-07T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"07.11.2067"	ok	2067-11-07T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"07.11.2080"	ok	2080-11-07T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"07/06/1939"	ok	1939-07-06T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"07/07/1969"	ok	1969-07-07T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"07/11/2051"	ok	2051-07-11T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"07/13/1987"	ok	1987-07-13T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"07/13/2019"	ok	2019-07-13T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"07/21/2104"	ok	2104-07-21T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"07/26/1989"	ok	1989-07-26T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"07/31/1931"	ok	1931-07-31T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"07/Feb/2096:02:11:09 +0000"	ok	2096-02-07T02:11:09.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"07/Nov/2107:23:44:00 +0000"	ok	2107-11-07T23:44:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"07/Oct/2026:11:15:42 +0000"	ok	2026-10-07T11:15:42.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"07:15:46"	ok	2024-01-01T07:15:46.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"07:24 PM"	ok	2024-01-01T19:24:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"07:40"	ok	2024-01-01T07:40:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"07:46"	ok	2024-01-01T07:46:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"08.07.1954"	ok	1954-07-08T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"08/14/2048"	ok	2048-08-14T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"08/25/2096"	ok	2096-08-25T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"08/31/2036"	ok	2036-08-31T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"08:03"	ok	2024-01-01T08:03:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"08:17 AM"	ok	2024-01-01T08:17:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"08:21:17"	ok	2024-01-01T08:21:17.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"08:46"	ok	2024-01-01T08:46:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"08:52 PM"	ok	2024-01-01T20:52:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"08:54"	ok	2024-01-01T08:54:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"09.05.1943"	ok	1943-05-09T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"09/10/2073"	ok	2073-09-10T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"09/14/1925"	ok	1925-09-14T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"09/20/2001"	ok	2001-09-20T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"09/25/2096"	ok	2096-09-25T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"09/29/1981"	ok	1981-09-29T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"09/Jun/2024:20:03:02 +0000"	ok	2024-06-09T20:03:02.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"09/May/2011:02:43:06 +0000"	ok	2011-05-09T02:43:06.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"09:07 AM"	ok	2024-01-01T09:07:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"09:10:29"	ok	2024-01-01T09:10:29.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"09:29 AM"	ok	2024-01-01T09:29:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"09:39"	ok	2024-01-01T09:39:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"09:45:26"	ok	2024-01-01T09:45:26.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"09:59"	ok	2024-01-01T09:59:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"1 June 2065"	ok	2065-06-01T00:00:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"10 September 1937"	ok	1937-09-10T00:00:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"10/08/2086"	ok	2086-10-08T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"10/17/2047"	ok	2047-10-17T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"10/30/1995"	ok	1995-10-30T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"10/31/1969"	ok	1969-10-31T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"10:01:00"	ok	2024-01-01T10:01:00.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"10:07:00"	ok	2024-01-01T10:07:00.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"10:12 AM"	ok	2024-01-01T10:12:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"10:15"	ok	2024-01-01T10:15:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"10:26"	ok	2024-01-01T10:26:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"10:27 AM"	ok	2024-01-01T10:27:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"10:30"	ok	2024-01-01T10:30:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"10:30 PM"	ok	2024-01-01T22:30:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"10:30:00"	ok	2024-01-01T10:30:00.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"10:30:00 PM"	ok	2024-01-01T22:30:00.000000000Z	+00:00	TIME_HMS_AMPM	ambiguous=false	kind=absolute
"10:30:00.123"	ok	2024-01-01T10:30:00.123000000Z	+00:00	TIME_HMS_FRAC3	ambiguous=false	kind=absolute
"10:30:00.123456"	ok	2024-01-01T10:30:00.123456000Z	+00:00	TIME_HMS_FRAC6	ambiguous=false	kind=absolute
"10:37 PM"	ok	2024-01-01T22:37:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"10:38 AM"	ok	2024-01-01T10:38:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"10:48 PM"	ok	2024-01-01T22:48:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"10:54 PM"	ok	2024-01-01T22:54:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"10:58:46"	ok	2024-01-01T10:58:46.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"11.03.1999"	ok	1999-03-11T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"11/27/2083"	ok	2083-11-27T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"11:00"	ok	2024-01-01T11:00:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"11:13 PM"	ok	2024-01-01T23:13:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"11:16 PM"	ok	2024-01-01T23:16:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"11:27"	ok	2024-01-01T11:27:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"11:40:04"	ok	2024-01-01T11:40:04.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"11:55:21"	ok	2024-01-01T11:55:21.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"11:58 PM"	ok	2024-01-01T23:58:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"11:59 AM"	ok	2024-01-01T11:59:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"11:59 PM"	ok	2024-01-01T23:59:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"12 March 2092"	ok	2092-03-12T00:00:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"12.07.1989"	ok	1989-07-12T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"12.09.2059"	ok	2059-09-12T00:00:00.000000000Z	+00:00	NUMERIC_AMBIG	ambiguous=true	kind=absolute
"12/13/2029"	ok	2029-12-13T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"12/25/1962"	ok	1962-12-25T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"12/28/2081"	ok	2081-12-28T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"12/29/2012"	ok	2012-12-29T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"12/May/1927:07:25:08 +0000"	ok	1927-05-12T07:25:08.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"12/May/2002:11:49:08 +0000"	ok	2002-05-12T11:49:08.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"12:00 AM"	ok	2024-01-01T00:00:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"12:00 PM"	ok	2024-01-01T12:00:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"12:17"	ok	2024-01-01T12:17:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"12:19 PM"	ok	2024-01-01T12:19:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"12:21 AM"	ok	2024-01-01T00:21:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"12:24:11"	ok	2024-01-01T12:24:11.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"12:27 PM"	ok	2024-01-01T12:27:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"12:31"	ok	2024-01-01T12:31:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"12:37:02"	ok	2024-01-01T12:37:02.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"12:42"	ok	2024-01-01T12:42:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"12:50:05"	ok	2024-01-01T12:50:05.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"12:59 AM"	ok	2024-01-01T00:59:00.000000000Z	+00:00	TIME_HM_AMPM	ambiguous=false	kind=absolute
"13.03.2034"	ok	2034-03-13T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"13.07.2026"	ok	2026-07-13T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"13.09.1984"	ok	1984-09-13T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"13/Jan/1958:12:10:06 +0000"	ok	1958-01-13T12:10:06.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"14 February 2066"	ok	2066-02-14T00:00:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"14 June 1964"	ok	1964-06-14T00:00:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"14.04.2074"	ok	2074-04-14T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"14.06.1995"	ok	1995-06-14T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"14.08.2082"	ok	2082-08-14T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"14/Aug/2059:07:11:42 +0000"	ok	2059-08-14T07:11:42.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"14/May/1942:09:54:23 +0000"	ok	1942-05-14T09:54:23.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"14:01:56"	ok	2024-01-01T14:01:56.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"14:46:13"	ok	2024-01-01T14:46:13.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"15 Mar"	ok	2024-03-15T00:00:00.000000000Z	+00:00	DAY_MONTH	ambiguous=true	kind=absolute
"15 Mar 24 10:30 UTC"	ok	2024-03-15T10:30:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=true	kind=absolute
"15 March 2024"	ok	2024-03-15T00:00:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"15 November 2101"	ok	2101-11-15T00:00:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"15-Mar-2024"	ok	2024-03-15T00:00:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"15-Mar-2024 10:30"	ok	2024-03-15T10:30:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"15.02.1955"	ok	1955-02-15T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"15.02.2009"	ok	2009-02-15T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"15.03.2024"	ok	2024-03-15T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"15.10.2090"	ok	2090-10-15T00:00:00.000000000Z	+00:00	NUMERIC_DMY	ambiguous=false	kind=absolute
"15/03/2024"	ok	2024-03-15T00:00:00.000000000Z	+00:00	NUMERIC_MDY	ambiguous=false	kind=absolute
"15/Mar/2024:10:30:00 +0000"	ok	2024-03-15T10:30:00.000000000Z	+00:00	DAY_MONTH_YEAR	ambiguous=false	kind=absolute
"15:13"	ok	2024-01-01T15:13:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"15:51"	ok	2024-01-01T15:51:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"15:52:15"	ok	2024-01-01T15:52:15.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
